Sequence,URN,RV,Label
247,urn:cite:hmt:u4.124r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 124r"
381,urn:cite:hmt:u4.191r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 191r"
225,urn:cite:hmt:u4.113r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 113r"
228,urn:cite:hmt:u4.114v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 114v"
180,urn:cite:hmt:u4.90v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 90v"
123,urn:cite:hmt:u4.62r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 62r"
350,urn:cite:hmt:u4.175v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 175v"
67,urn:cite:hmt:u4.34r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 34r"
11,urn:cite:hmt:u4.6r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 6r"
163,urn:cite:hmt:u4.82r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 82r"
65,urn:cite:hmt:u4.33r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 33r"
157,urn:cite:hmt:u4.79r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 79r"
161,urn:cite:hmt:u4.81r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 81r"
384,urn:cite:hmt:u4.192v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 192v"
328,urn:cite:hmt:u4.164v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 164v"
379,urn:cite:hmt:u4.190r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 190r"
142,urn:cite:hmt:u4.71v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 71v"
261,urn:cite:hmt:u4.131r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 131r"
31,urn:cite:hmt:u4.16r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 16r"
75,urn:cite:hmt:u4.38r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 38r"
245,urn:cite:hmt:u4.123r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 123r"
96,urn:cite:hmt:u4.48v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 48v"
137,urn:cite:hmt:u4.69r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 69r"
49,urn:cite:hmt:u4.25r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 25r"
89,urn:cite:hmt:u4.45r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 45r"
35,urn:cite:hmt:u4.18r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 18r"
78,urn:cite:hmt:u4.39v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 39v"
94,urn:cite:hmt:u4.47v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 47v"
176,urn:cite:hmt:u4.88v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 88v"
186,urn:cite:hmt:u4.93v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 93v"
136,urn:cite:hmt:u4.68v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 68v"
91,urn:cite:hmt:u4.46r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 46r"
314,urn:cite:hmt:u4.157v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 157v"
299,urn:cite:hmt:u4.150r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 150r"
313,urn:cite:hmt:u4.157r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 157r"
48,urn:cite:hmt:u4.24v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 24v"
359,urn:cite:hmt:u4.180r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 180r"
242,urn:cite:hmt:u4.121v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 121v"
15,urn:cite:hmt:u4.8r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 8r"
260,urn:cite:hmt:u4.130v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 130v"
365,urn:cite:hmt:u4.183r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 183r"
349,urn:cite:hmt:u4.175r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 175r"
184,urn:cite:hmt:u4.92v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 92v"
282,urn:cite:hmt:u4.141v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 141v"
1,urn:cite:hmt:u4.1r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 1r"
208,urn:cite:hmt:u4.104v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 104v"
296,urn:cite:hmt:u4.148v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 148v"
304,urn:cite:hmt:u4.152v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 152v"
152,urn:cite:hmt:u4.76v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 76v"
132,urn:cite:hmt:u4.66v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 66v"
205,urn:cite:hmt:u4.103r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 103r"
204,urn:cite:hmt:u4.102v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 102v"
210,urn:cite:hmt:u4.105v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 105v"
46,urn:cite:hmt:u4.23v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 23v"
278,urn:cite:hmt:u4.139v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 139v"
105,urn:cite:hmt:u4.53r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 53r"
183,urn:cite:hmt:u4.92r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 92r"
286,urn:cite:hmt:u4.143v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 143v"
347,urn:cite:hmt:u4.174r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 174r"
200,urn:cite:hmt:u4.100v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 100v"
356,urn:cite:hmt:u4.178v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 178v"
71,urn:cite:hmt:u4.36r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 36r"
383,urn:cite:hmt:u4.192r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 192r"
254,urn:cite:hmt:u4.127v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 127v"
56,urn:cite:hmt:u4.28v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 28v"
325,urn:cite:hmt:u4.163r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 163r"
4,urn:cite:hmt:u4.2v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 2v"
310,urn:cite:hmt:u4.155v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 155v"
319,urn:cite:hmt:u4.160r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 160r"
387,urn:cite:hmt:u4.194r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 194r"
58,urn:cite:hmt:u4.29v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 29v"
257,urn:cite:hmt:u4.129r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 129r"
324,urn:cite:hmt:u4.162v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 162v"
13,urn:cite:hmt:u4.7r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 7r"
171,urn:cite:hmt:u4.86r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 86r"
29,urn:cite:hmt:u4.15r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 15r"
116,urn:cite:hmt:u4.58v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 58v"
103,urn:cite:hmt:u4.52r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 52r"
113,urn:cite:hmt:u4.57r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 57r"
302,urn:cite:hmt:u4.151v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 151v"
199,urn:cite:hmt:u4.100r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 100r"
190,urn:cite:hmt:u4.95v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 95v"
377,urn:cite:hmt:u4.189r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 189r"
343,urn:cite:hmt:u4.172r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 172r"
221,urn:cite:hmt:u4.111r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 111r"
220,urn:cite:hmt:u4.110v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 110v"
312,urn:cite:hmt:u4.156v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 156v"
114,urn:cite:hmt:u4.57v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 57v"
55,urn:cite:hmt:u4.28r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 28r"
41,urn:cite:hmt:u4.21r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 21r"
45,urn:cite:hmt:u4.23r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 23r"
327,urn:cite:hmt:u4.164r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 164r"
331,urn:cite:hmt:u4.166r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 166r"
14,urn:cite:hmt:u4.7v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 7v"
170,urn:cite:hmt:u4.85v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 85v"
207,urn:cite:hmt:u4.104r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 104r"
309,urn:cite:hmt:u4.155r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 155r"
189,urn:cite:hmt:u4.95r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 95r"
342,urn:cite:hmt:u4.171v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 171v"
151,urn:cite:hmt:u4.76r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 76r"
203,urn:cite:hmt:u4.102r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 102r"
353,urn:cite:hmt:u4.177r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 177r"
376,urn:cite:hmt:u4.188v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 188v"
147,urn:cite:hmt:u4.74r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 74r"
354,urn:cite:hmt:u4.177v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 177v"
6,urn:cite:hmt:u4.3v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 3v"
144,urn:cite:hmt:u4.72v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 72v"
367,urn:cite:hmt:u4.184r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 184r"
295,urn:cite:hmt:u4.148r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 148r"
88,urn:cite:hmt:u4.44v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 44v"
148,urn:cite:hmt:u4.74v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 74v"
42,urn:cite:hmt:u4.21v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 21v"
195,urn:cite:hmt:u4.98r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 98r"
332,urn:cite:hmt:u4.166v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 166v"
259,urn:cite:hmt:u4.130r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 130r"
382,urn:cite:hmt:u4.191v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 191v"
346,urn:cite:hmt:u4.173v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 173v"
285,urn:cite:hmt:u4.143r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 143r"
115,urn:cite:hmt:u4.58r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 58r"
294,urn:cite:hmt:u4.147v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 147v"
265,urn:cite:hmt:u4.133r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 133r"
20,urn:cite:hmt:u4.10v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 10v"
301,urn:cite:hmt:u4.151r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 151r"
194,urn:cite:hmt:u4.97v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 97v"
230,urn:cite:hmt:u4.115v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 115v"
298,urn:cite:hmt:u4.149v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 149v"
85,urn:cite:hmt:u4.43r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 43r"
214,urn:cite:hmt:u4.107v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 107v"
213,urn:cite:hmt:u4.107r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 107r"
264,urn:cite:hmt:u4.132v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 132v"
61,urn:cite:hmt:u4.31r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 31r"
234,urn:cite:hmt:u4.117v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 117v"
19,urn:cite:hmt:u4.10r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 10r"
24,urn:cite:hmt:u4.12v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 12v"
321,urn:cite:hmt:u4.161r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 161r"
270,urn:cite:hmt:u4.135v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 135v"
388,urn:cite:hmt:u4.194v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 194v"
37,urn:cite:hmt:u4.19r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 19r"
73,urn:cite:hmt:u4.37r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 37r"
84,urn:cite:hmt:u4.42v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 42v"
9,urn:cite:hmt:u4.5r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 5r"
126,urn:cite:hmt:u4.63v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 63v"
109,urn:cite:hmt:u4.55r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 55r"
81,urn:cite:hmt:u4.41r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 41r"
153,urn:cite:hmt:u4.77r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 77r"
108,urn:cite:hmt:u4.54v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 54v"
53,urn:cite:hmt:u4.27r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 27r"
202,urn:cite:hmt:u4.101v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 101v"
188,urn:cite:hmt:u4.94v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 94v"
235,urn:cite:hmt:u4.118r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 118r"
62,urn:cite:hmt:u4.31v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 31v"
209,urn:cite:hmt:u4.105r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 105r"
271,urn:cite:hmt:u4.136r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 136r"
226,urn:cite:hmt:u4.113v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 113v"
172,urn:cite:hmt:u4.86v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 86v"
352,urn:cite:hmt:u4.176v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 176v"
160,urn:cite:hmt:u4.80v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 80v"
135,urn:cite:hmt:u4.68r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 68r"
287,urn:cite:hmt:u4.144r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 144r"
370,urn:cite:hmt:u4.185v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 185v"
112,urn:cite:hmt:u4.56v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 56v"
145,urn:cite:hmt:u4.73r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 73r"
3,urn:cite:hmt:u4.2r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 2r"
28,urn:cite:hmt:u4.14v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 14v"
141,urn:cite:hmt:u4.71r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 71r"
215,urn:cite:hmt:u4.108r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 108r"
267,urn:cite:hmt:u4.134r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 134r"
106,urn:cite:hmt:u4.53v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 53v"
303,urn:cite:hmt:u4.152r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 152r"
248,urn:cite:hmt:u4.124v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 124v"
360,urn:cite:hmt:u4.180v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 180v"
165,urn:cite:hmt:u4.83r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 83r"
231,urn:cite:hmt:u4.116r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 116r"
305,urn:cite:hmt:u4.153r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 153r"
277,urn:cite:hmt:u4.139r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 139r"
97,urn:cite:hmt:u4.49r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 49r"
330,urn:cite:hmt:u4.165v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 165v"
90,urn:cite:hmt:u4.45v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 45v"
99,urn:cite:hmt:u4.50r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 50r"
246,urn:cite:hmt:u4.123v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 123v"
177,urn:cite:hmt:u4.89r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 89r"
107,urn:cite:hmt:u4.54r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 54r"
283,urn:cite:hmt:u4.142r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 142r"
279,urn:cite:hmt:u4.140r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 140r"
335,urn:cite:hmt:u4.168r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 168r"
122,urn:cite:hmt:u4.61v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 61v"
21,urn:cite:hmt:u4.11r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 11r"
243,urn:cite:hmt:u4.122r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 122r"
253,urn:cite:hmt:u4.127r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 127r"
197,urn:cite:hmt:u4.99r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 99r"
100,urn:cite:hmt:u4.50v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 50v"
44,urn:cite:hmt:u4.22v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 22v"
191,urn:cite:hmt:u4.96r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 96r"
268,urn:cite:hmt:u4.134v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 134v"
